"sg13g2_IOPadIn","Input","-","Input pad (3.3V to 1.2V level shifter)"
"sg13g2_IOPadOut4mA","Output","4 mA","Output pad, 4 mA drive strength"
"sg13g2_IOPadOut16mA","Output","16 mA","Output pad, 16 mA drive strength"
"sg13g2_IOPadOut30mA","Output","30 mA","Output pad, 30 mA drive strength"
"sg13g2_IOPadTriOut4mA","Tri-state","4 mA","Tri-state output pad, 4 mA drive strength"
"sg13g2_IOPadTriOut16mA","Tri-state","16 mA","Tri-state output pad, 16 mA drive strength"
"sg13g2_IOPadTriOut30mA","Tri-state","30 mA","Tri-state output pad, 30 mA drive strength"
"sg13g2_IOPadInOut4mA","Bidirectional","4 mA","Bidirectional pad, 4 mA drive strength"
"sg13g2_IOPadInOut16mA","Bidirectional","16 mA","Bidirectional pad, 16 mA drive strength"
"sg13g2_IOPadInOut30mA","Bidirectional","30 mA","Bidirectional pad, 30 mA drive strength"
"sg13g2_IOPadAnalog","Analog","-","Analog pad (direct connection, no buffer)"
