Pin.a,Min. Activ enclosure of Activ:pin
Pin.b,Min. GatPoly enclosure of GatPoly:pin
Pin.c,**MISSING** - Not yet implemented in DRC deck
Pin.d,**MISSING** - Not yet implemented in DRC deck
Pin.e,Min. Metal1 enclosure of Metal1:pin
Pin.f.M2,Min. Metal2 enclosure of Metal2:pin
Pin.f.M3,Min. Metal3 enclosure of Metal3:pin
Pin.f.M4,Min. Metal4 enclosure of Metal4:pin
Pin.f.M5,Min. Metal5 enclosure of Metal5:pin
Pin.g,Min. TopMetal1 enclosure of TopMetal1:pin
Pin.h,Min. TopMetal2 enclosure of TopMetal2:pin
